",mass A,,"
"t,x,y,"
"4.767,-0.177,7.050E-2"
"4.800,-0.177,7.085E-2"
"4.833,-0.177,7.303E-2"
"4.867,-0.181,7.903E-2"
"4.900,-0.189,8.741E-2"
"4.933,-0.199,9.042E-2"
"4.967,-0.211,8.741E-2"
"5.000,-0.223,7.234E-2"
"5.033,-0.229,7.837E-2"
"5.067,-0.237,8.364E-2"
"5.100,-0.243,8.023E-2"
"5.133,-0.249,7.844E-2"
"5.167,-0.255,7.892E-2"
"5.200,-0.260,7.954E-2"
"5.233,-0.265,7.954E-2"
"5.267,-0.270,7.810E-2"
"5.300,-0.274,7.679E-2"
"5.333,-0.279,7.667E-2"
"5.367,-0.283,7.586E-2"
"5.400,-0.286,7.468E-2"
"5.433,-0.289,7.311E-2"
"5.467,-0.290,7.084E-2"
"5.500,-0.290,7.084E-2"
"5.533,-0.291,7.071E-2"
"5.567,-0.290,7.052E-2"
"5.600,-0.288,7.047E-2"
"5.633,-0.287,6.997E-2"
"5.667,-0.285,6.956E-2"
"5.700,-0.283,6.977E-2"
"5.733,-0.281,6.989E-2"
"5.767,-0.280,6.991E-2"
"5.800,-0.279,7.023E-2"
"5.833,-0.280,7.048E-2"
"5.867,-0.282,6.984E-2"
"5.900,-0.285,6.987E-2"
"5.933,-0.289,6.853E-2"
"5.967,-0.292,6.765E-2"
"6.000,-0.295,6.689E-2"
"6.033,-0.298,6.636E-2"
"6.067,-0.300,6.590E-2"
"6.100,-0.300,6.593E-2"
"6.133,-0.300,6.645E-2"
"6.167,-0.300,6.852E-2"
"6.200,-0.303,7.374E-2"
"6.233,-0.313,8.213E-2"
"6.267,-0.323,8.440E-2"
"6.300,-0.336,7.912E-2"
"6.333,-0.346,6.801E-2"
"6.367,-0.353,7.385E-2"
"6.400,-0.358,7.450E-2"
"6.433,-0.364,7.409E-2"
"6.467,-0.368,7.461E-2"
"6.500,-0.371,7.466E-2"
"6.533,-0.373,7.350E-2"
"6.567,-0.374,7.112E-2"
"6.600,-0.374,6.948E-2"
"6.633,-0.374,7.029E-2"
"6.667,-0.373,7.151E-2"
"6.700,-0.370,7.250E-2"
"6.733,-0.368,7.248E-2"
