Stiffness,A_len,B_len,C_len,D_len,E_len,XZ_Rel_Distance
0.0563750757278609,0.2934152978912945,0.2741415374245359,0.26219544320964266,0.35567094046722625,0.24347942661776897,16.83215899283375
0.056373666200462705,0.2934147888319435,0.2741350124751961,0.26221025396706144,0.3556798306213411,0.2434715696347044,7.686740765045207
0.05638447614142282,0.2933932676527174,0.27413761991587404,0.26222281823102156,0.3556722907571187,0.24347565860168313,7.680991148374569
0.056375307763667906,0.29341529414353534,0.27414133453276,0.26219634000678416,0.3556712965892973,0.24347876950631786,7.679721333747675
0.05636379950867538,0.2934112254164867,0.27408933782981804,0.26231392926899266,0.35574206170014505,0.24341657075325224,7.6766000177292355
0.05637738383275121,0.29341379439817145,0.27413991188847886,0.2622028949116329,0.3556724094808997,0.2434752591937973,7.674156325318715
0.056375404709833724,0.29340062783872534,0.27414259567745314,0.26220351252677765,0.35568032014113454,0.24348147203968562,7.666193200986379
0.05635976199873564,0.2934359546250535,0.2741434538654931,0.26223010283902015,0.35575678692543616,0.24343789095901003,7.663046409747785
0.05636943761826814,0.2934132616538906,0.27411543762717694,0.2622546862393177,0.3557065010836856,0.2434479986855106,7.661061789435835
0.056468499031654504,0.2935728197637774,0.2740707895158361,0.2623757971686752,0.355659325930485,0.24323739959287433,7.658607807347694
0.05638343503502491,0.2934135389868285,0.2741425060002489,0.26220987596408174,0.35567138598785686,0.24346858456224635,7.658169673267287
0.056371641278125564,0.29350196417965435,0.27405388259632246,0.26236404954106995,0.3557058921790545,0.2433401868880758,7.657078067701256
0.056381726868638335,0.29342811189486945,0.27412033957024917,0.262241205069782,0.35566579372034834,0.24345013424454043,7.656299361496408
0.05637565520538092,0.2934151087163529,0.27414168061984545,0.26219654615174753,0.35567174131839946,0.24347844904963833,7.6561234096350566
0.056375652754083475,0.2934149220180137,0.2741411310405216,0.26219730613514025,0.3556713077206446,0.24347838476177608,7.6551323453625715
0.056377377206254714,0.29341674896268943,0.27414180924845355,0.26219830290083856,0.3556731851912297,0.24347498367220582,7.65162043024248
0.05637662732552812,0.2934153311642935,0.27414302714545846,0.26219444527255276,0.3556699347971613,0.24347910880530255,7.651301232015293
0.0563771655546519,0.293414858165178,0.2741417795684642,0.2621990513982524,0.3556710518473839,0.24347671610388832,7.651169316035353
0.0563761206412564,0.29341507802823624,0.2741416584965001,0.26219724730394756,0.3556709961573051,0.24347807136082866,7.648916012741413
0.056372256673064516,0.29341427977259255,0.2741284875258564,0.26222506472448015,0.35568872077545594,0.2434637126516398,7.645121748368619
0.05637520687392765,0.29341496123154354,0.27414173264480657,0.2621954862506465,0.3556706294527865,0.24347963730850308,7.645008898571578
0.056378510177596236,0.2933286316029347,0.27422919225274933,0.2620268368782154,0.35563598875539804,0.24361866634746215,7.643797021857518
0.056376932014317,0.2934152679092211,0.27413991429032913,0.2622026175867749,0.3556737894437949,0.2434741697261599,7.642668597214005
0.05656535678518344,0.2936436753479005,0.2740876964353497,0.2623875447962805,0.3556127596819155,0.24313461229767286,7.642212622949422
0.056441950185172944,0.29340122665556645,0.27414928603024025,0.26231090524515527,0.3556745046322711,0.24339269017358817,7.641972985479907
0.05637558568131522,0.2934155428737979,0.2741419879693102,0.2621953671700942,0.3556710377534056,0.24347891649022857,7.641857717321904
0.05639432146558842,0.29355316100228424,0.2741290735401405,0.2622979920835472,0.3558103524084367,0.24329627032260462,7.641765459643694
0.0563669131770267,0.29338686186046764,0.2741261245961496,0.2622287450918418,0.3556723714108634,0.24348820585505992,7.641337804891164
0.05639179434218891,0.29341178008236246,0.274143474575962,0.2622243087185208,0.35567183150848747,0.24345774250672375,7.639830954173376
0.05641144854026226,0.29302137134354195,0.27437825113721637,0.2621947865709291,0.3556165801830383,0.24373012501903407,7.63793212036756
0.0563743709641618,0.293415043361619,0.274138274949866,0.2622028485883521,0.3556753855442837,0.2434754981262367,7.636859049904064
0.05637988020121401,0.29341851889681925,0.2741346618933482,0.26221390123019117,0.35567174292300896,0.24346567473472547,7.6331548682921815
0.056379678684648535,0.29341820003408436,0.27414208107237115,0.2622011625920345,0.3556754299152332,0.24347054072664265,7.632775157405775
0.056417001653051274,0.2936043578249142,0.27420426448395857,0.26223193462602445,0.355914812637819,0.24325235375713344,7.6302210254115055
0.056375598184558645,0.2934151879597654,0.27414159796051796,0.26219634525679514,0.35567096831226563,0.24347874898929883,7.629389789283026
0.05637925538144291,0.29341441843906146,0.27414202171239244,0.2622026595868622,0.35567116322754155,0.24347400559000765,7.629170061412273
0.05637579752190891,0.2934144893325816,0.27414179869334754,0.26219789080386424,0.3556737265787271,0.24347759988560763,7.628540308447936
0.0564760466896946,0.2937065521878643,0.2744416130514916,0.26178982206052326,0.35525016193397974,0.24354283985392502,7.627020568080341
0.05641297784669246,0.293455111470903,0.2740822833308576,0.2623666479037642,0.35565702175743164,0.24337819334912592,7.62656348625117
0.05637700206150288,0.29342350574903886,0.2741378924103447,0.2622090958228678,0.3556827276071351,0.2434626325374682,7.626320363044244
0.05637553979947492,0.2934152903957762,0.2741411316409842,0.2621972368039257,0.3556716527113684,0.24347811239486672,7.626129232840458
0.05639113203656662,0.29343538296542093,0.27412481710599623,0.2622368507414583,0.3556684692662949,0.24343731795148282,7.626048464898283
0.05626500214141899,0.29358862742388747,0.2743341936280921,0.26209734146109964,0.35619081477257925,0.24336334589578348,7.625415407137258
0.05634697758579059,0.2933492343623286,0.2741306086196508,0.26223577576643486,0.35571355466166965,0.24350854057179144,7.62418942696635
